ResultNumber,Consent,Appeal,Trust,Usage,Likes,Dislikes,Reccomended,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q10.1,Q10.2,Q10.3,Q10.4,Q10.5,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,UserID,Start Date,Start Time,Finish Date,Finish Time,Average Time,Interface,Activity level,Agegroup,Children,Country,Deotype,DeoUser,Deofreq,Gender,Sweating,Benefit
16,1,5,5,5,This product is very new and unique which is specially designed for heavy sweaters.,This product would probably won't be affordable for most people who are in need of this unique product.,n/a,4,5,5,5,5,2,1,1,1,1,5,7,7,7,7,7618879,06-08-2020,13:36,06-08-2020,13:47,57.58333333,desktop,Less often,25 - 34 years,I don’t have any children,South Africa,Roll-on,Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
17,1,5,4,5,"The product promises an extra on-demand cooling sensation made especially for people living in places with hot and humid weather conditions. I so love the idea because the amount of cooling that the product will give will depend on one's body temperature, so you will get what your body really needs at the moment. ",There is nothing to dislike about this product.,Maybe the product should also be hypoallergenic so that it will also work or be suited for those with sensitive skin types.,4,4,4,5,5,2,1,1,1,1,4,7,7,7,7,8597079,06-08-2020,13:42,06-08-2020,13:57,80.27272727,desktop,Less often,45 - 54 years,One,Philippines,Stick,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
18,1,5,4,5,Sounds very suitable to the hot summers in Australia or situations where you are exercising.  Would give you peace of mind.  Sounds effective and very different to other products out there.  Sounds like it would give you relief to your discomfort.,Sounds like it will probably have more chemicals in it to get this effect so I would wonder if it's bad for me,"Make it more natural or specify that it is safe, has been clinically tested etc",1,5,5,5,5,3,1,1,1,1,3,6,7,6,7,5337216,06-08-2020,13:57,06-08-2020,14:04,40.63636364,desktop,Twice a week,35 - 44 years,I don’t have any children,Australia,Roll-on,Yes,I use it at least once a day,Female,Light sweater,It cares for my skin
19,1,4,4,4,"The Problem of Balu is very much related to me and my city climate , so if this product can work for Balu , I think it will work for me too . I like in product development the factor of  "" On Demand Cooling  Sensation """,I don't think there is any thing to dislike as per description ., The only change is I would like if it could possible with natural ingredients .,4,4,4,4,4,1,1,1,1,1,6,6,6,6,6,7763988,06-08-2020,14:02,06-08-2020,14:17,74,desktop,3+ times a week,45 - 54 years,One,India,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,It cares for my skin
20,1,4,1,4,"I like potential the product has for keeping me cool and fresh, no matter what the climate. ",The word (Encaps) in the title is confusing. I do not understand where it fits with a product of this type.,"The name of the product, as pertaining to the word ""Encaps"", is something I would definitely change to something more descriptive, or enticing.",2,4,4,4,5,3,1,1,1,1,2,6,5,5,6,8595287,06-08-2020,14:06,06-08-2020,14:16,50.58333333,desktop,Twice a week,45 - 54 years,I don’t have any children,US,Stick,Yes,"I use it most days, but not every day",Male,Normal sweater,It prevents / controls against odour
21,1,4,5,5,Looks really good,Nothing,Nothing,4,4,5,5,3,3,3,4,5,4,7,7,6,6,6,5341286,06-08-2020,14:37,06-08-2020,14:40,13.33333333,mobile,3+ times a week,35 - 44 years,I don’t have any children,UK,Stick,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against wetness
22,1,4,3,4,That can keep me come regardless of the climate ,I can’t say much since never tried it,N/a,5,4,5,4,4,3,1,1,1,1,7,5,6,6,7,6918747,06-08-2020,14:55,06-08-2020,17:01,684.3636364,mobile,Twice a week,35 - 44 years,Three,South Africa,Roll-on,No,I use it multiple times a day,Male,Light sweater,It prevents / controls against odour
23,1,5,4,5,I live in Florida and it is extremely hot and humid here most of the year. We only have a few cool days a year. A product that can keep me cool is something that sounds amazing.,I don't have enough information about the product to have anything I dislike about it. From the information given everything about thus product is likable.,Na,4,4,4,5,5,1,1,1,1,1,6,7,7,7,7,7618541,06-08-2020,15:04,06-08-2020,15:14,49.75,mobile,3+ times a week,45 - 54 years,One,US,Stick,Yes,I use it at least once a day,Female,Normal sweater,"It's free from (aluminium, chemical or fragrance)"
24,1,5,2,5,"Various people have  their own body sweating levels and it's impossible to give the same level of comfort by one product, to all those who use the product. This product claims to be the best at providing same level of comfort to all people using it which is making me a bit unbelievable about this product. If it actually works I'll buy it for sure.",To speak honestly there's nothing to dislike about this product. But it'll be great if the product is manufactured in various flavors of people's choice which will further increase the demand for the product.,Just that the product be available in various flavors would be great. Otherwise it's great.,5,5,5,5,5,1,1,1,1,1,6,7,7,7,7,7831317,06-08-2020,15:16,06-08-2020,15:24,40.58333333,desktop,3+ times a week,25 - 34 years,One,India,Aerosol Spray,Yes,I use it at least once a day,Male,Excessive sweater,It cares for my skin
25,1,5,4,5,The fact that it will keep me cool and calm while keeping me fresh all day long.I think I am in love with it even before its available.,No comment,I would swap the current deodarent for that one.,3,4,3,5,5,2,1,1,1,1,2,6,3,6,6,5344890,06-08-2020,15:18,06-08-2020,15:24,34.18181818,mobile,Less often,35 - 44 years,One,South Africa,Roll-on,Yes,I use it multiple times a day,Female,Heavy sweater,It cares for my skin
26,,,,,,,,,,,,,,,,,,,,,,,4441030,06-08-2020,15:21,,,,desktop,,,,,,,,,,
27,1,5,5,5,It will be activated by my body temperature.,I dislike nothing,I would not change anything,3,5,4,5,5,1,1,1,1,1,7,7,7,7,7,5335181,06-08-2020,15:25,06-08-2020,15:32,34.81818182,desktop,3+ times a week,25 - 34 years,Three,South Africa,Roll-on,Yes,I use it multiple times a day,Male,Anxious sweater,It cares for my skin
28,1,4,3,4,as yout temperature increases you get hotter so your deodorant gives you a cooling sensation when needed,nothing at all,nothing really sounds good if it works,3,5,5,5,4,3,1,1,1,1,3,7,7,7,7,5335238,06-08-2020,15:26,06-08-2020,15:39,66,desktop,3+ times a week,55 - 64 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Light sweater,It prevents / controls against wetness
29,1,5,3,5,Slow release cooling,Nothing ,N/a,3,5,5,5,5,1,1,1,1,1,3,5,6,6,3,5342704,06-08-2020,15:26,06-08-2020,15:29,14.58333333,mobile,Twice a week,45 - 54 years,Two,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against wetness
30,1,5,4,5,That is protects you from sweating,None,No,4,4,5,4,4,1,1,1,1,1,6,6,6,7,7,6893797,06-08-2020,15:27,06-08-2020,15:47,100.0833333,mobile,Few times a month,45 - 54 years,I don’t have children under the age of 18,South Africa,Roll-on,Yes,I use it multiple times a day,Male,Normal sweater,It prevents / controls against wetness
31,1,5,3,4,I like the fact that it has a cooling sensation which cools you down when you are feeling hot and makes you feel fresh. Everyone wants to feel fresh.,Nothing at this stage.,"No, this sounds good. Perhaps give us a glimpse into what scents will be available. I would love a fresh cucumber scent.",4,4,4,4,5,2,1,1,1,1,6,6,7,7,7,5353028,06-08-2020,15:28,06-08-2020,15:34,33.75,desktop,Never,35 - 44 years,Three,South Africa,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
32,1,4,4,4,It sounds very cooling,n/a,n/a,4,4,4,4,4,2,1,1,1,1,5,6,6,6,6,5333533,06-08-2020,15:28,06-08-2020,15:31,14,desktop,3+ times a week,55 - 64 years,I don’t have children under the age of 18,UK,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against wetness
33,1,5,4,4,I like that the product is innovative. I like that it is refreshing and cooling. ,I don't like that I'm not sure what the product looks like. ,N/A,4,5,4,5,5,2,1,1,1,1,5,7,6,7,7,5353248,06-08-2020,15:28,06-08-2020,15:35,32.66666667,desktop,3+ times a week,25 - 34 years,One,South Africa,Roll-on,Yes,I use it at least once a day,Male,Light sweater,It prevents / controls against odour
34,1,5,4,4,"That it activates when required, and you don't need to chose a different product depending on the temp",Don't think anything ,"Encaps sounds odd, change the name of that",3,4,5,5,5,2,1,1,1,1,4,6,7,6,6,5332977,06-08-2020,15:28,07-08-2020,09:34,5429.25,desktop,3+ times a week,35 - 44 years,One,UK,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
35,1,5,4,5,I like it because I normally sweat in hot conditions. So I would like to have a product that would help me. ,N/A,If it works. It works. Would change nothing ,3,3,4,5,5,3,3,3,1,1,5,4,5,7,7,5342778,06-08-2020,15:28,06-08-2020,15:38,51.25,mobile,Once a week,45 - 54 years,I don’t have children under the age of 18,South Africa,Aerosol Spray,Yes,I use it multiple times a day,Male,Normal sweater,It prevents / controls against odour
36,1,5,2,5,"I like the fact that there are cooling agents to keep me cool and fresh, regardless of the temperature",n/a,n/a,3,4,5,5,5,3,1,1,1,1,4,7,7,7,7,7590232,06-08-2020,15:28,06-08-2020,15:38,50.63636364,desktop,Once a week,35 - 44 years,One,India,Aerosol Spray,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
37,1,5,4,5,The fact that it will keep my underarms fresh even in high temperatures and busy days.,N/A,N/A,5,5,4,5,5,3,1,1,1,1,5,6,6,7,7,5342261,06-08-2020,15:29,06-08-2020,15:34,25.66666667,desktop,3+ times a week,25 - 34 years,One,South Africa,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against wetness
38,1,4,4,5,cool sensation,none,n/a,5,4,2,4,4,2,3,4,2,3,5,5,5,6,5,5337832,06-08-2020,15:29,06-08-2020,15:31,10,desktop,Twice a week,35 - 44 years,I don’t have children under the age of 18,South Africa,Lotion,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
39,1,3,1,2,That it gives a cooling sensation,Nothing,Nope,5,5,5,5,5,1,1,1,1,1,5,7,7,7,7,5363737,06-08-2020,15:31,06-08-2020,15:37,29.16666667,desktop,Never,35 - 44 years,I don’t have any children,South Africa,Aerosol Spray,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
40,1,5,4,4,helps with sweat,nothing,n/a,3,4,4,5,5,3,1,2,1,1,4,7,6,7,7,5372743,06-08-2020,15:31,06-08-2020,15:34,13.58333333,desktop,3+ times a week,45 - 54 years,Two,Australia,Aerosol Spray,Yes,I use it at least once a day,Male,Anxious sweater,It prevents / controls against odour
41,1,4,3,4,Reacts to the situation ,Nothing comes to mind ,N/a,3,4,4,4,4,2,1,1,1,1,4,5,5,6,6,5333308,06-08-2020,15:32,06-08-2020,15:34,12.16666667,mobile,3+ times a week,45 - 54 years,I don’t have any children,UK,Aerosol Spray,Yes,"I use it most days, but not every day",Male,Normal sweater,It prevents / controls against wetness
42,1,4,4,4,It looks really cool and suitable for me.,Nothing at all,N/A,5,5,4,4,5,1,1,1,1,1,7,6,7,6,7,5367370,06-08-2020,15:32,06-08-2020,15:35,16.83333333,desktop,Once a week,18 - 24 years,I don’t have children under the age of 18,UK,Pump spray,Yes,I use it multiple times a day,Male,Heavy sweater,It prevents / controls against odour
43,1,5,5,5,Sometimes in my country it gets very hot that you need something like this product to cool you down,None,None,5,5,5,5,5,1,1,1,1,1,7,7,6,7,7,5364309,06-08-2020,15:34,06-08-2020,15:40,30.16666667,desktop,3+ times a week,25 - 34 years,One,South Africa,Roll-on,Yes,I use it multiple times a day,Male,Normal sweater,It prevents / controls against odour
44,1,5,3,4,Solves a problem that I understand,Hard to believe it will actually work ,N/a,3,4,3,5,5,3,1,2,1,1,1,5,4,7,7,5334591,06-08-2020,15:35,06-08-2020,15:38,13.58333333,mobile,Never,25 - 34 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
45,1,5,2,5,it is something totally new and if it works it will be an excellent and useful product for the hot and humid days.,n/a,n/a,4,5,4,5,5,1,1,1,1,1,7,7,7,7,7,5336212,06-08-2020,15:35,06-08-2020,15:44,46.58333333,mobile,3+ times a week,35 - 44 years,I don’t have any children,South Africa,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,It does not cause white marks / stains on skin or clothes
46,1,5,5,5,Its unique formula,Nothing,n/a,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,7741720,06-08-2020,15:36,13-08-2020,08:29,52652,mobile,3+ times a week,45 - 54 years,One,India,Aerosol Spray,Yes,I use it multiple times a day,Male,Normal sweater,It cares for my skin
47,1,3,4,3,I like that it can cool when body temperature goes up.,How many chemicals will the product contain? How healthy will it be for me in the long run?,n/a,3,4,4,5,4,5,2,2,1,1,1,3,5,7,6,7561494,06-08-2020,15:37,06-08-2020,16:37,304.0833333,mobile,Less often,35 - 44 years,I don’t have any children,South Africa,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
48,1,4,4,3,"body temp sensor, possibly connected electronic device to regulate release cooling ingredients","need more info about cooling ingredients specifically - lab made, natural ","encaps is confusing, capsule? in cube shape?",3,5,4,5,4,3,2,1,2,1,4,5,6,7,6,5454078,06-08-2020,15:38,06-08-2020,15:42,21,desktop,3+ times a week,35 - 44 years,I don’t have children under the age of 18,Australia,Lotion,Yes,"I use it most days, but not every day",Female,Light sweater,It’s natural / contains natural ingredients
49,1,5,5,5,THE FACT THAT IT KEPT MY BODY TEMPERATURE COOL NO MATTER WHAT THE CLIMATE,NOTHING AT ALL,n/a,5,5,5,5,5,1,1,1,1,1,7,7,7,7,7,5434188,06-08-2020,15:39,06-08-2020,15:47,40.18181818,desktop,3+ times a week,45 - 54 years,Two,US,Roll-on,Yes,I use it at least once a day,Male,Anxious sweater,
50,1,4,5,4,I like that you can use it when needed,Nothing,Nothing,4,4,4,4,4,2,1,1,1,1,6,6,6,6,6,5402612,06-08-2020,15:40,06-08-2020,15:47,35.81818182,desktop,3+ times a week,55 - 64 years,I don’t have children under the age of 18,US,Soft solid (clinical),Yes,I use it at least once a day,Female,Anxious sweater,It prevents / controls against odour
51,1,5,4,4,all of it,nothing,no,4,4,4,5,5,2,2,1,1,1,6,6,6,7,7,5333896,06-08-2020,15:41,06-08-2020,20:29,1574.090909,desktop,Twice a week,55 - 64 years,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it multiple times a day,Female,Anxious sweater,It prevents / controls against odour
52,1,3,4,3,on demand sounds interesting,nothing,unsure,3,2,4,5,4,2,3,1,1,1,4,1,6,7,7,6899446,06-08-2020,15:42,06-08-2020,15:55,66.08333333,desktop,Twice a week,45 - 54 years,Two,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Heavy sweater,It prevents / controls against wetness
53,1,4,4,4,The fact that it is activated by my body temperature. ,Im not sure what ingredients are in it,n/a,4,4,4,5,5,1,1,1,1,1,5,6,7,7,7,5362665,06-08-2020,15:43,06-08-2020,15:57,77.45454545,desktop,3+ times a week,35 - 44 years,Two,South Africa,Roll-on,Yes,I use it at least once a day,Male,Heavy sweater,It cares for my skin
54,1,3,5,4,works in all weathers to control perspiration ,residue left by cooling ingredients?,-,2,4,3,5,5,3,2,2,1,1,5,6,6,7,7,5454514,06-08-2020,15:43,06-08-2020,15:55,69.27272727,desktop,Once a week,35 - 44 years,I don’t have children under the age of 18,Australia,Aerosol Spray,Yes,I use it at least once a day,Female,Anxious sweater,It cares for my skin
55,1,4,3,3,keeps him cool while getting from A to B  keeps you fresh ,I find it hard to believe is it meant to be added to freshly washed arm pits ? or used on the go ? ,n/a ,3,4,4,4,5,3,1,1,1,1,1,6,7,7,7,5333643,06-08-2020,15:45,06-08-2020,15:58,65.25,desktop,3+ times a week,65 years +,I don’t have children under the age of 18,UK,Aerosol Spray,Yes,I use it at least once a day,Female,Light sweater,It prevents / controls against wetness
56,1,4,5,3,Refresh on demand. Cooling sensation,Will it be too cold? ,How do I apply,4,4,5,5,5,3,3,1,1,1,4,5,7,7,7,5337164,06-08-2020,15:45,06-08-2020,15:50,25.08333333,mobile,3+ times a week,25 - 34 years,I don’t have any children,US,Stick,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against wetness
57,1,5,4,5,on-demand cooling sensation,none right now. need to try and test if really works,n/a,2,4,5,5,4,3,2,1,1,1,1,5,7,6,7,8641463,06-08-2020,15:45,06-08-2020,15:56,55.91666667,desktop,Twice a week,35 - 44 years,Three,Philippines,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
58,1,4,4,5,"It addresses the problem of people in humid countries. In a tropical country like mine, I need a deodorant that keeps sweat under control and has cooling effect.",n/a,n/a,4,5,4,5,4,2,1,1,1,3,5,7,6,7,6,8589429,06-08-2020,15:45,06-08-2020,15:51,30.25,mobile,3+ times a week,25 - 34 years,I don’t have any children,Philippines,Roll-on,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against wetness
59,1,4,4,4,I Like the idea that the product releases cooling when its needed,nothing ,I Think that the options of containers would have to be easy to carry,5,5,5,4,5,1,1,1,1,1,6,6,6,6,6,6889928,06-08-2020,15:46,06-08-2020,15:49,17.45454545,desktop,3+ times a week,65 years +,I don’t have children under the age of 18,UK,Pump spray,Yes,I use it multiple times a day,Female,Normal sweater,It cares for my skin
60,1,4,3,3,The cooling sensation since it's hot and humid in where I live.,n/a,Maybe not change but I would prefer it to be unscented.,2,4,4,4,5,3,2,2,1,1,3,4,4,6,6,8664448,06-08-2020,15:49,06-08-2020,16:03,71,desktop,3+ times a week,35 - 44 years,I don’t have any children,Philippines,Pump spray,Yes,I use it at least once a day,Female,Anxious sweater,It cares for my skin
61,1,4,4,3,"Obviously keeping my cool, especially when travelling.","Is it tested, not to have any effect on your skin?",n/a,5,4,4,5,5,1,1,1,1,1,6,7,6,7,7,5362650,06-08-2020,15:50,06-08-2020,15:56,27.83333333,desktop,Less often,45 - 54 years,Two,South Africa,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,It prevents / controls against odour
62,1,5,4,5,Keeping me cool in the heat ,if the chemicals in it won't have a side effect,n/a,1,2,5,4,4,5,1,1,2,3,7,7,7,5,3,5363149,06-08-2020,15:51,06-08-2020,16:01,53.41666667,mobile,Less often,18 - 24 years,I don’t have any children,South Africa,Roll-on,Yes,I use it at least once a day,Male,Light sweater,It cares for my skin
63,1,,,,,,,,,,,,,,,,,,,,,,5335537,06-08-2020,15:51,,,,mobile,Twice a week,55 - 64 years,I don’t have any children,UK,Aerosol Spray,Yes,I use it at least once a day,Male,Heavy sweater,It prevents / controls against wetness
64,1,5,5,5,The Product releases cooling sensation..,n/a,n/a,3,5,3,5,5,2,2,2,1,2,6,7,7,7,7,8589729,06-08-2020,15:53,06-08-2020,16:01,43.27272727,desktop,Less often,45 - 54 years,Two,Philippines,Roll-on,Yes,I use it at least once a day,Female,Normal sweater,It prevents / controls against odour
65,1,5,5,5,modern and transparent,None,none,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7589690,06-08-2020,15:53,06-08-2020,16:01,39.75,desktop,3+ times a week,25 - 34 years,Two,UK,Pump spray,Yes,I use it multiple times a day,Male,Normal sweater,It cares for my skin
66,1,5,4,5,Cooling sensation upon heat contact,N/A,N/A,4,5,4,5,5,3,1,1,1,1,5,7,7,7,7,7605437,06-08-2020,15:53,06-08-2020,15:57,23.36363636,mobile,3+ times a week,35 - 44 years,Three,US,Stick,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
67,1,5,5,5,quality performance,n/a,n/a,4,5,5,4,5,2,1,1,1,3,6,7,7,7,6,7719330,06-08-2020,15:55,06-08-2020,16:00,26.25,desktop,3+ times a week,45 - 54 years,Two,India,Aerosol Spray,Yes,I use it at least once a day,Male,Anxious sweater,It cares for my skin
68,1,5,4,4,The claim that it will activate in our body temperature and make us feel cool in hit environment. That's something we all need. ,I don't dislike anything but I think it won't work for a long time. ,n/a,5,4,5,4,4,2,1,1,1,1,6,7,6,6,7,7682062,06-08-2020,15:55,06-08-2020,16:00,21.25,mobile,3+ times a week,18 - 24 years,I don’t have any children,India,Aerosol Spray,Yes,I use it multiple times a day,Female,Anxious sweater,It cares for my skin
69,1,5,5,5,Every thing is cool about this product ,No comment on this issue ,It's ok no comment ,3,4,3,1,3,3,2,3,5,2,4,7,7,5,4,7671249,06-08-2020,15:56,06-08-2020,15:58,8.083333333,mobile,Once a week,25 - 34 years,One,UK,Roll-on,Yes,I use it multiple times a day,Male,Anxious sweater,It cares for my skin
70,1,5,4,5,product releases cooling ingredients as and when required and it does really gives great relief.,n/a,i would say if product description also contains the percentage of its effectiveness then it can increase customer's interest and inclination.,4,4,5,5,4,1,1,1,2,3,6,7,7,7,6,7831754,06-08-2020,15:56,06-08-2020,16:02,28,desktop,3+ times a week,25 - 34 years,One,India,Aerosol Spray,Yes,I use it multiple times a day,Female,Anxious sweater,It does not cause white marks / stains on skin or clothes
71,1,5,3,5,Cooling is most necessary element when human sweats. If the mentioned product comes to reality it would be one of the best product so far.,I doubt it would be possible,N/a,2,5,5,4,5,2,1,1,2,1,3,6,6,6,7,7764109,06-08-2020,15:56,06-08-2020,16:51,274.5833333,mobile,Less often,35 - 44 years,Three,India,Lotion,Yes,I use it at least once a day,Male,Normal sweater,Has a fragrance I like
72,1,3,2,3,If it does release cooling ingredients as body temperature rises it would be very useful,Not sure but it might be irritating for sensitive skin,N/a,3,5,5,5,5,3,1,1,1,1,3,7,7,6,6,6917683,06-08-2020,15:56,07-08-2020,09:46,5349.5,desktop,Less often,55 - 64 years,I don’t have children under the age of 18,Australia,Aerosol Spray,Yes,I use it at least once a day,Female,Heavy sweater,It prevents / controls against odour
73,1,5,5,5,It's will keep me cool for 24hours and more fresh ,n/a,n/a,5,5,5,5,5,2,1,1,1,1,7,7,7,7,7,7590336,06-08-2020,15:57,06-08-2020,16:06,43.41666667,desktop,3+ times a week,35 - 44 years,Two,South Africa,Roll-on,Yes,I use it at least once a day,Male,Normal sweater,"It's free from (aluminium, chemical or fragrance)"
